PID,abs_velocity_mm_yr,stability_level,agent_predicted_level,recommended_action
7,39.114216666666664,4,4,FIELD INSPECTION
7,27.044733333333344,3,3,ENHANCED MONITORING
7,8.236387499999998,2,3,ENHANCED MONITORING
7,105.51463749999999,5,5,REINFORCE / ALARM
7,30.839275,5,5,REINFORCE / ALARM
7,57.043933333333335,4,4,FIELD INSPECTION
8,6.009377083333331,2,3,ENHANCED MONITORING
8,11.430295833333332,3,3,ENHANCED MONITORING
8,0.24857291666666725,1,3,ENHANCED MONITORING
8,12.759400000000001,3,3,ENHANCED MONITORING
8,45.76683958333333,4,4,FIELD INSPECTION
8,43.118777083333335,4,4,FIELD INSPECTION
8,27.661599999999996,3,3,ENHANCED MONITORING
8,1.1581468749999975,1,3,ENHANCED MONITORING
8,1.3062760416666659,1,3,ENHANCED MONITORING
8,20.800480208333333,3,3,ENHANCED MONITORING
8,22.603902083333335,3,3,ENHANCED MONITORING
8,33.515745833333334,4,4,FIELD INSPECTION
8,72.74968333333332,4,4,FIELD INSPECTION
8,7.494727083333333,2,3,ENHANCED MONITORING
8,42.37508750000001,4,4,FIELD INSPECTION
8,9.562447916666663,2,3,ENHANCED MONITORING
8,18.825593749999992,3,3,ENHANCED MONITORING
8,72.04759166666666,4,4,FIELD INSPECTION
8,41.39195624999999,4,4,FIELD INSPECTION
8,7.313116666666666,2,3,ENHANCED MONITORING
8,44.54984687499999,4,4,FIELD INSPECTION
8,9.827761458333327,2,3,ENHANCED MONITORING
8,28.443336458333334,3,3,ENHANCED MONITORING
8,42.778891666666674,4,4,FIELD INSPECTION
8,37.819608333333335,4,4,FIELD INSPECTION
8,50.489725,4,4,FIELD INSPECTION
8,10.104235416666663,4,3,ENHANCED MONITORING
8,43.56316458333333,4,4,FIELD INSPECTION
8,94.08129791666666,4,5,REINFORCE / ALARM
8,27.688993749999998,3,3,ENHANCED MONITORING
8,62.16149166666667,4,4,FIELD INSPECTION
8,47.58091458333333,4,4,FIELD INSPECTION
8,5.0830624999999925,3,3,ENHANCED MONITORING
8,47.629614583333336,4,4,FIELD INSPECTION
8,72.01005208333335,4,4,FIELD INSPECTION
8,11.518564583333331,3,3,ENHANCED MONITORING
8,1.8952416666666636,1,3,ENHANCED MONITORING
8,49.14895312499999,4,4,FIELD INSPECTION
8,43.26741354166666,4,4,FIELD INSPECTION
8,18.005303125,3,3,ENHANCED MONITORING
8,40.71624375,4,4,FIELD INSPECTION
8,53.090102083333335,4,4,FIELD INSPECTION
8,5.447805208333335,2,3,ENHANCED MONITORING
8,20.818742708333335,3,3,ENHANCED MONITORING
8,0.2683572916666653,1,3,ENHANCED MONITORING
8,12.172970833333336,3,3,ENHANCED MONITORING
8,10.965616666666667,3,3,ENHANCED MONITORING
8,1.2641708333333348,1,3,ENHANCED MONITORING
8,13.758764583333338,3,3,ENHANCED MONITORING
8,5.8602333333333325,2,3,ENHANCED MONITORING
8,11.769166666666669,3,3,ENHANCED MONITORING
8,14.26707083333334,3,3,ENHANCED MONITORING
8,130.48353333333333,5,5,REINFORCE / ALARM
8,50.12244583333335,5,5,REINFORCE / ALARM
8,20.391095833333328,4,5,REINFORCE / ALARM
8,102.94165416666665,5,5,REINFORCE / ALARM
8,8.583374999999995,2,3,ENHANCED MONITORING
8,22.74290000000002,3,3,ENHANCED MONITORING
8,30.94073333333333,4,4,FIELD INSPECTION
8,80.62284999999999,4,4,FIELD INSPECTION
8,149.10925416666666,5,5,REINFORCE / ALARM
8,132.8799791666667,5,5,REINFORCE / ALARM
8,111.72794583333335,5,5,REINFORCE / ALARM
8,15.2491875,3,3,ENHANCED MONITORING
8,15.547475000000029,3,3,ENHANCED MONITORING
8,6.732774999999985,2,3,ENHANCED MONITORING
8,29.542637499999994,3,4,FIELD INSPECTION
8,106.8478,5,5,REINFORCE / ALARM
8,13.56700833333332,4,3,ENHANCED MONITORING
8,51.2384875,4,4,FIELD INSPECTION
8,8.830933333333325,2,3,ENHANCED MONITORING
8,63.89440000000001,4,4,FIELD INSPECTION
8,42.60032499999997,4,4,FIELD INSPECTION
8,30.443587500000024,4,4,FIELD INSPECTION
8,56.07602083333335,4,4,FIELD INSPECTION
8,0.8989208333334062,1,3,ENHANCED MONITORING
8,38.53184583333336,4,4,FIELD INSPECTION
8,83.87357500000003,4,4,FIELD INSPECTION
8,26.51106249999999,4,5,REINFORCE / ALARM
8,33.47313333333332,4,4,FIELD INSPECTION
10,130.03711666666666,5,5,REINFORCE / ALARM
10,33.826208333333334,5,4,FIELD INSPECTION
10,22.732754166666666,3,3,ENHANCED MONITORING
10,4.066450000000003,3,3,ENHANCED MONITORING
10,38.416690625,4,4,FIELD INSPECTION
10,49.47564895833333,4,4,FIELD INSPECTION
10,61.04494270833334,4,4,FIELD INSPECTION
10,59.17202187500001,4,4,FIELD INSPECTION
10,50.23252812500001,4,4,FIELD INSPECTION
10,49.806403125,4,4,FIELD INSPECTION
10,65.7510875,4,4,FIELD INSPECTION
10,89.89005416666664,4,4,FIELD INSPECTION
10,23.51296875,3,3,ENHANCED MONITORING
10,34.13058333333334,4,4,FIELD INSPECTION
10,46.10672499999999,4,4,FIELD INSPECTION
10,19.618997916666668,3,3,ENHANCED MONITORING
10,12.371829166666666,3,3,ENHANCED MONITORING
10,34.536416666666675,4,4,FIELD INSPECTION
10,45.63595833333334,4,4,FIELD INSPECTION
10,12.062381250000001,3,3,ENHANCED MONITORING
10,27.963438541666672,3,3,ENHANCED MONITORING
10,7.827003125000009,2,3,ENHANCED MONITORING
10,5.551292708333327,2,3,ENHANCED MONITORING
10,71.88119999999999,4,4,FIELD INSPECTION
10,51.35719375,4,4,FIELD INSPECTION
10,35.54897083333333,4,4,FIELD INSPECTION
10,4.565624999999998,2,3,ENHANCED MONITORING
10,37.73742708333333,4,4,FIELD INSPECTION
10,60.55439166666667,4,4,FIELD INSPECTION
10,123.74669999999999,5,5,REINFORCE / ALARM
10,103.6396875,5,5,REINFORCE / ALARM
10,162.99078333333333,5,5,REINFORCE / ALARM
10,119.81113125000002,5,5,REINFORCE / ALARM
10,107.1339125,5,5,REINFORCE / ALARM
10,31.8437125,4,4,FIELD INSPECTION
10,58.84177500000002,4,4,FIELD INSPECTION
10,87.81218750000001,4,4,FIELD INSPECTION
10,74.95792395833332,4,4,FIELD INSPECTION
10,31.184740625000007,4,4,FIELD INSPECTION
10,6.6886406250000014,2,3,ENHANCED MONITORING
10,23.422670833333356,3,3,ENHANCED MONITORING
10,1.8181333333333463,1,3,ENHANCED MONITORING
10,35.084291666666665,4,4,FIELD INSPECTION
10,116.69433125000005,5,5,REINFORCE / ALARM
10,41.26716250000001,5,5,REINFORCE / ALARM
10,12.880135416666675,3,3,ENHANCED MONITORING
10,64.39763333333337,4,4,FIELD INSPECTION
10,28.277452083333326,3,4,FIELD INSPECTION
10,7.1802062500000305,2,3,ENHANCED MONITORING
10,28.430654166666667,3,4,FIELD INSPECTION
10,10.492820833333314,3,3,ENHANCED MONITORING
10,74.41562916666665,4,4,FIELD INSPECTION
10,12.816216666666685,3,3,ENHANCED MONITORING
10,79.49057499999998,4,4,FIELD INSPECTION
10,87.68232083333335,4,4,FIELD INSPECTION
10,214.05070416666672,5,5,REINFORCE / ALARM
10,106.47849166666663,5,5,REINFORCE / ALARM
10,25.58779166666672,4,5,REINFORCE / ALARM
10,23.842708333333423,4,5,REINFORCE / ALARM
10,56.95667916666664,4,4,FIELD INSPECTION
10,192.498925,5,5,REINFORCE / ALARM
10,120.16927916666667,5,5,REINFORCE / ALARM
10,141.59322083333345,5,5,REINFORCE / ALARM
10,81.15246249999996,4,4,FIELD INSPECTION
10,15.71386666666666,4,3,ENHANCED MONITORING
10,26.571937499999994,4,3,ENHANCED MONITORING
10,1.2459083333333183,1,3,ENHANCED MONITORING
10,18.652100000000075,4,3,ENHANCED MONITORING
10,25.395020833333334,3,4,FIELD INSPECTION
10,135.89734999999988,5,5,REINFORCE / ALARM
10,29.103322916666702,4,5,REINFORCE / ALARM
10,62.110762499999986,4,4,FIELD INSPECTION
10,102.4343624999999,5,5,REINFORCE / ALARM
10,37.55480208333329,4,4,FIELD INSPECTION
10,5.086106250000081,2,3,ENHANCED MONITORING
10,129.24878541666666,5,5,REINFORCE / ALARM
10,31.984739583333294,5,5,REINFORCE / ALARM
10,19.473912499999965,3,3,ENHANCED MONITORING
10,29.288991666666735,4,5,REINFORCE / ALARM
10,29.652212500000033,3,4,FIELD INSPECTION
12,18.668333333333333,3,3,ENHANCED MONITORING
12,46.87780833333332,4,4,FIELD INSPECTION
12,24.95672083333334,3,3,ENHANCED MONITORING
12,10.525287500000006,3,3,ENHANCED MONITORING
12,49.93525520833333,4,4,FIELD INSPECTION
12,10.562319791666669,3,3,ENHANCED MONITORING
12,28.05069270833333,3,3,ENHANCED MONITORING
12,32.895328125,4,4,FIELD INSPECTION
12,48.70659479166665,4,4,FIELD INSPECTION
12,7.137086458333343,2,3,ENHANCED MONITORING
12,13.616722916666646,3,3,ENHANCED MONITORING
12,15.879243749999981,3,3,ENHANCED MONITORING
12,22.37765,3,3,ENHANCED MONITORING
12,33.19716666666665,4,4,FIELD INSPECTION
12,10.847924999999988,3,3,ENHANCED MONITORING
12,17.435614583333322,3,3,ENHANCED MONITORING
12,54.92548333333332,4,4,FIELD INSPECTION
12,35.052839583333316,4,4,FIELD INSPECTION
12,28.271364583333337,3,3,ENHANCED MONITORING
12,7.691556250000025,2,3,ENHANCED MONITORING
12,2.862646874999978,2,3,ENHANCED MONITORING
12,0.7797072916666679,1,3,ENHANCED MONITORING
12,0.2754593750000254,1,3,ENHANCED MONITORING
12,11.204043749999984,3,3,ENHANCED MONITORING
12,12.855785416666658,3,3,ENHANCED MONITORING
12,7.752431250000029,2,3,ENHANCED MONITORING
12,4.329227083333338,2,3,ENHANCED MONITORING
12,53.716100000000004,4,4,FIELD INSPECTION
12,21.17638333333333,3,3,ENHANCED MONITORING
12,43.06500416666669,4,4,FIELD INSPECTION
12,21.246389583333343,3,3,ENHANCED MONITORING
12,52.254085416666676,4,4,FIELD INSPECTION
12,31.713845833333313,4,4,FIELD INSPECTION
12,3.2253604166666463,2,3,ENHANCED MONITORING
12,4.421554166666636,2,3,ENHANCED MONITORING
12,19.155333333333314,3,3,ENHANCED MONITORING
12,16.139991666666646,3,3,ENHANCED MONITORING
12,35.69202708333331,4,4,FIELD INSPECTION
12,19.516525000000005,3,3,ENHANCED MONITORING
12,19.701179166666634,3,3,ENHANCED MONITORING
12,45.76379583333334,4,4,FIELD INSPECTION
12,18.441066666666686,3,3,ENHANCED MONITORING
12,8.65642499999999,2,3,ENHANCED MONITORING
12,1.9946708333333163,1,3,ENHANCED MONITORING
12,1.4579562499999763,1,3,ENHANCED MONITORING
12,8.163337500000004,2,3,ENHANCED MONITORING
12,19.88583333333334,3,3,ENHANCED MONITORING
12,47.72295624999998,4,4,FIELD INSPECTION
12,0.2221937499999882,1,3,ENHANCED MONITORING
12,52.89022916666668,4,4,FIELD INSPECTION
12,54.44051250000001,4,4,FIELD INSPECTION
12,9.588827083333333,2,3,ENHANCED MONITORING
12,87.54332291666667,4,4,FIELD INSPECTION
12,105.6292854166666,5,5,REINFORCE / ALARM
12,104.6644166666667,5,5,REINFORCE / ALARM
12,54.60284583333331,4,4,FIELD INSPECTION
12,26.541499999999996,3,3,ENHANCED MONITORING
12,4.951166666666665,2,3,ENHANCED MONITORING
12,100.48027499999996,5,5,REINFORCE / ALARM
12,1.9358250000000983,1,3,ENHANCED MONITORING
12,70.01436666666655,5,5,REINFORCE / ALARM
12,4.190229166666768,2,3,ENHANCED MONITORING
12,199.33721666666665,5,5,REINFORCE / ALARM
12,87.73710833333347,5,5,REINFORCE / ALARM
12,74.60637083333327,4,4,FIELD INSPECTION
12,64.9678291666667,4,4,FIELD INSPECTION
12,39.50381666666672,4,4,FIELD INSPECTION
12,116.55533333333331,5,5,REINFORCE / ALARM
12,134.27198750000002,5,5,REINFORCE / ALARM
12,74.94321250000003,5,5,REINFORCE / ALARM
12,35.79855833333338,4,4,FIELD INSPECTION
12,41.75010416666668,4,4,FIELD INSPECTION
12,13.767895833333254,3,3,ENHANCED MONITORING
12,46.09252083333333,4,4,FIELD INSPECTION
12,31.06958541666667,4,4,FIELD INSPECTION
12,13.103343750000063,3,3,ENHANCED MONITORING
12,20.29876875000002,3,3,ENHANCED MONITORING
12,27.799583333333278,3,4,FIELD INSPECTION
12,78.6058583333334,4,4,FIELD INSPECTION
12,111.64880833333338,5,5,REINFORCE / ALARM
22,75.79444791666667,4,4,FIELD INSPECTION
22,25.029770833333334,3,3,ENHANCED MONITORING
22,1.269243749999994,1,3,ENHANCED MONITORING
22,1.94292708333334,1,3,ENHANCED MONITORING
22,48.56150937499999,4,4,FIELD INSPECTION
22,12.291169791666674,3,3,ENHANCED MONITORING
22,0.675205208333343,1,3,ENHANCED MONITORING
22,6.699801041666653,2,3,ENHANCED MONITORING
22,93.39594687499999,5,5,REINFORCE / ALARM
22,35.05233229166668,5,5,REINFORCE / ALARM
22,1.107925000000004,1,3,ENHANCED MONITORING
22,68.776575,4,4,FIELD INSPECTION
22,22.3715625,3,3,ENHANCED MONITORING
22,1.0074812500000025,1,3,ENHANCED MONITORING
22,22.51563333333334,3,3,ENHANCED MONITORING
22,4.9755166666666595,2,3,ENHANCED MONITORING
22,35.393739583333335,4,4,FIELD INSPECTION
22,38.77027291666668,4,4,FIELD INSPECTION
22,13.367135416666676,3,3,ENHANCED MONITORING
22,2.3741250000000007,2,3,ENHANCED MONITORING
22,8.72998229166666,2,3,ENHANCED MONITORING
22,9.893709375000002,2,3,ENHANCED MONITORING
22,5.451863541666675,2,3,ENHANCED MONITORING
22,0.9973354166666676,1,3,ENHANCED MONITORING
22,18.702829166666657,3,3,ENHANCED MONITORING
22,39.856891666666655,4,4,FIELD INSPECTION
22,77.14080000000001,4,4,FIELD INSPECTION
22,38.50343750000001,4,4,FIELD INSPECTION
22,63.67119166666668,4,4,FIELD INSPECTION
22,10.02002500000001,3,3,ENHANCED MONITORING
22,54.31977708333333,4,4,FIELD INSPECTION
22,27.308525000000014,3,3,ENHANCED MONITORING
22,10.797195833333356,4,3,ENHANCED MONITORING
22,13.700933333333337,3,3,ENHANCED MONITORING
22,42.92702083333335,4,4,FIELD INSPECTION
22,9.255029166666686,2,3,ENHANCED MONITORING
22,75.31962291666665,4,4,FIELD INSPECTION
22,93.85808958333332,4,4,FIELD INSPECTION
22,67.69604375,4,4,FIELD INSPECTION
22,57.98343750000001,4,4,FIELD INSPECTION
22,81.93673541666668,4,4,FIELD INSPECTION
22,67.92432500000001,4,4,FIELD INSPECTION
22,6.913370833333333,2,3,ENHANCED MONITORING
22,49.689218749999974,4,4,FIELD INSPECTION
22,26.16711875,4,3,ENHANCED MONITORING
22,12.649825000000002,3,3,ENHANCED MONITORING
22,24.744672916666662,3,3,ENHANCED MONITORING
22,49.04901666666666,4,4,FIELD INSPECTION
22,32.817712500000034,5,5,REINFORCE / ALARM
22,44.94198333333329,4,4,FIELD INSPECTION
22,85.57807499999996,4,4,FIELD INSPECTION
22,50.36290208333329,4,4,FIELD INSPECTION
22,71.50276041666666,4,4,FIELD INSPECTION
22,43.34807291666669,5,5,REINFORCE / ALARM
22,34.30306250000001,5,5,REINFORCE / ALARM
22,44.58282083333336,4,4,FIELD INSPECTION
22,92.19518750000003,4,4,FIELD INSPECTION
22,51.81477083333332,5,5,REINFORCE / ALARM
22,24.950633333333325,3,3,ENHANCED MONITORING
22,151.2459666666667,5,5,REINFORCE / ALARM
22,56.78825833333335,4,4,FIELD INSPECTION
22,98.55459583333334,4,5,REINFORCE / ALARM
22,4.451991666666676,2,3,ENHANCED MONITORING
22,93.17527499999998,5,5,REINFORCE / ALARM
22,42.72207499999999,4,4,FIELD INSPECTION
22,137.73171666666664,5,5,REINFORCE / ALARM
22,32.16432083333334,4,4,FIELD INSPECTION
22,224.25944166666667,5,5,REINFORCE / ALARM
22,177.5115000000001,5,5,REINFORCE / ALARM
22,259.95654166666674,5,5,REINFORCE / ALARM
22,149.31115625000004,5,5,REINFORCE / ALARM
22,99.83398541666668,5,5,REINFORCE / ALARM
22,3.777293750000098,2,3,ENHANCED MONITORING
22,51.09847500000007,4,4,FIELD INSPECTION
22,51.84115000000008,4,4,FIELD INSPECTION
22,39.13653750000005,4,4,FIELD INSPECTION
22,44.99271249999996,4,4,FIELD INSPECTION
22,74.74232499999998,4,4,FIELD INSPECTION
22,42.37914583333341,5,5,REINFORCE / ALARM
22,22.897116666666648,4,5,REINFORCE / ALARM
26,45.41173541666668,4,4,FIELD INSPECTION
26,1.6497124999999926,1,3,ENHANCED MONITORING
26,15.752420833333334,3,3,ENHANCED MONITORING
26,130.28974791666667,5,5,REINFORCE / ALARM
26,80.86279895833333,5,5,REINFORCE / ALARM
26,62.495796875,4,4,FIELD INSPECTION
26,2.828151041666667,2,3,ENHANCED MONITORING
26,25.473651041666667,3,3,ENHANCED MONITORING
26,5.7044947916666615,2,3,ENHANCED MONITORING
26,24.976505208333325,3,3,ENHANCED MONITORING
26,5.247424999999993,2,3,ENHANCED MONITORING
26,40.958729166666664,4,4,FIELD INSPECTION
26,31.15785416666667,4,4,FIELD INSPECTION
26,67.74474375000001,4,4,FIELD INSPECTION
26,28.064389583333337,3,3,ENHANCED MONITORING
26,14.973220833333334,3,3,ENHANCED MONITORING
26,15.402389583333326,3,3,ENHANCED MONITORING
26,16.555970833333337,4,3,ENHANCED MONITORING
26,8.372341666666662,2,3,ENHANCED MONITORING
26,11.900047916666667,3,3,ENHANCED MONITORING
26,33.8952,4,4,FIELD INSPECTION
26,23.195404166666673,3,3,ENHANCED MONITORING
26,24.553931249999994,3,3,ENHANCED MONITORING
26,10.507024999999997,3,3,ENHANCED MONITORING
26,12.905499999999998,3,3,ENHANCED MONITORING
26,36.40223541666666,5,5,REINFORCE / ALARM
26,68.99268125,4,4,FIELD INSPECTION
26,130.85892916666668,5,5,REINFORCE / ALARM
26,68.32711458333334,4,4,FIELD INSPECTION
26,21.259579166666665,3,3,ENHANCED MONITORING
26,40.92524791666666,4,4,FIELD INSPECTION
26,55.257252083333334,4,4,FIELD INSPECTION
26,93.65314375000001,4,4,FIELD INSPECTION
26,78.42932083333334,4,4,FIELD INSPECTION
26,49.472097916666655,4,4,FIELD INSPECTION
26,12.027885416666678,3,3,ENHANCED MONITORING
26,39.999947916666656,4,4,FIELD INSPECTION
26,66.91684375,4,4,FIELD INSPECTION
26,23.144675000000007,3,3,ENHANCED MONITORING
26,24.26578958333332,3,3,ENHANCED MONITORING
26,44.452954166666665,4,4,FIELD INSPECTION
26,54.30050000000001,4,4,FIELD INSPECTION
26,44.028858333333325,4,4,FIELD INSPECTION
26,40.231272916666676,4,4,FIELD INSPECTION
26,10.883435416666662,3,3,ENHANCED MONITORING
26,14.983366666666676,3,3,ENHANCED MONITORING
26,1.9703208333333393,1,3,ENHANCED MONITORING
26,40.165325,4,4,FIELD INSPECTION
26,15.034095833333334,3,3,ENHANCED MONITORING
26,26.088995833333325,3,3,ENHANCED MONITORING
26,7.792000000000006,2,3,ENHANCED MONITORING
26,0.5519333333333236,1,3,ENHANCED MONITORING
26,17.268208333333373,3,3,ENHANCED MONITORING
26,81.66178333333332,4,4,FIELD INSPECTION
26,72.42095833333336,4,4,FIELD INSPECTION
26,7.731125000000006,2,3,ENHANCED MONITORING
26,71.6965458333333,4,4,FIELD INSPECTION
26,43.698104166666646,4,4,FIELD INSPECTION
26,151.8810958333333,5,5,REINFORCE / ALARM
26,96.92923333333333,5,5,REINFORCE / ALARM
26,59.27804583333333,5,5,REINFORCE / ALARM
26,31.360770833333277,5,5,REINFORCE / ALARM
26,65.38989583333333,4,4,FIELD INSPECTION
26,69.91290833333333,5,5,REINFORCE / ALARM
26,62.04177083333335,4,4,FIELD INSPECTION
26,63.514945833333314,4,4,FIELD INSPECTION
